project_id,object_id,object_state,state_start_time,state_end_time
1,0,INIT,0,5
1,0,ACTIVE,5,5
1,0,ACTIVE,5,10
1,0,ACTIVE,10,10
1,0,ACTIVE,10,10
1,0,ACTIVE,10,15
1,0,ACTIVE,15,15
1,0,ACTIVE,15,20
1,0,WAIT,20,20
1,1,INIT,0,25
1,1,ACTIVE,25,25
1,2,INIT,0,25
1,2,ACTIVE,25,25
1,0,WAIT,20,25
1,0,WAIT,25,26
1,1,ACTIVE,25,26
1,0,WAIT,26,26
1,0,ACTIVE,26,26
1,0,ACTIVE,26,27
1,1,ACTIVE,26,27
1,0,ACTIVE,27,27
1,0,ACTIVE,27,27
1,0,ACTIVE,27,31
1,0,ACTIVE,31,31
1,0,ACTIVE,31,36
1,0,WAIT,36,36
1,3,INIT,0,45
1,3,ACTIVE,45,45
1,1,WAIT,27,45
1,0,WAIT,36,45
1,1,WAIT,45,46
1,1,ACTIVE,46,46
1,3,ACTIVE,45,46
1,0,WAIT,45,46
1,1,ACTIVE,46,46
1,0,WAIT,46,46
1,0,WAIT,46,47
1,1,ACTIVE,46,47
1,0,WAIT,47,47
1,0,ACTIVE,47,47
1,1,WAIT,47,48
1,1,WAIT,48,48
1,1,ACTIVE,48,48
1,0,ACTIVE,47,48
1,3,ACTIVE,46,48
1,0,ACTIVE,48,48
1,1,ACTIVE,48,49
1,0,ACTIVE,48,49
1,0,ACTIVE,49,49
1,1,ACTIVE,49,49
1,3,ACTIVE,48,49
1,1,ACTIVE,49,49
1,0,ACTIVE,49,49
1,0,ACTIVE,49,49
1,3,ACTIVE,49,50
1,3,ACTIVE,50,50
1,0,ACTIVE,49,50
1,0,ACTIVE,50,50
1,1,ACTIVE,49,50
1,0,ACTIVE,50,50
1,1,WAIT,50,51
1,3,ACTIVE,50,51
1,1,WAIT,51,51
1,0,ACTIVE,50,51
1,3,ACTIVE,51,51
1,3,ACTIVE,51,51
1,2,ACTIVE,25,51
1,1,ACTIVE,51,51
1,0,ACTIVE,51,51
1,0,ACTIVE,51,52
1,0,ERROR,52,52
1,1,ACTIVE,51,52
1,3,ACTIVE,51,52
1,1,ACTIVE,52,52
1,0,ERROR,52,52
1,0,ERROR,52,53
1,1,ACTIVE,52,53
1,0,ERROR,53,53
1,0,ERROR,53,53
1,3,WAIT,52,56
1,3,WAIT,56,56
1,1,ACTIVE,53,56
1,0,ERROR,53,56
1,2,ACTIVE,51,56
1,3,ACTIVE,56,56
