Scenario Num,Time,GEN Count,TRACK Count,PROC Count,STOCK CountALL Count
5,1000,1,3,1,2,7

State Avg Time
INIT TIME,ACTIVE TIME,ERROR TIME,PAUSE TIME
36.4286,867,88.5714,8

State Avg Rate
INIT TIME,ACTIVE TIME,ERROR TIME,PAUSE TIME
3.64286,86.7,8.85714,0.8

Product
All Product Count,All Product Time Sum,All Product Time Avg
158,4486,28.3924

INIT TIME
GEN INIT,TRACK INIT,PROC INIT,STOCK INIT
5,25,45,65

