project_id,object_id,current_time,init_rate,active_rate,error_rate,pause_rate
3,0,5,100,0,0,0
3,0,5,100,0,0,0
3,1,5,100,0,0,0
3,1,5,100,0,0,0
3,2,5,100,0,0,0
3,2,5,100,0,0,0
3,3,5,100,0,0,0
3,3,5,100,0,0,0
3,4,5,100,0,0,0
3,4,5,100,0,0,0
3,5,5,100,0,0,0
3,5,5,100,0,0,0
3,6,5,100,0,0,0
3,6,5,100,0,0,0
3,0,10,50,50,0,0
3,0,10,50,50,0,0
3,1,10,50,50,0,0
3,1,10,50,50,0,0
3,2,10,50,50,0,0
3,2,10,50,50,0,0
3,3,10,50,50,0,0
3,3,10,50,50,0,0
3,4,10,50,50,0,0
3,4,10,50,50,0,0
3,5,10,50,50,0,0
3,5,10,50,50,0,0
3,6,10,50,50,0,0
3,6,10,50,50,0,0
3,1,10,50,50,0,0
3,3,10,50,50,0,0
3,5,10,50,50,0,0
3,6,10,50,50,0,0
3,4,10,50,50,0,0
3,2,10,50,50,0,0
3,0,10,50,50,0,0
3,0,15,33.3333,66.6667,0,0
3,0,15,33.3333,66.6667,0,0
3,1,15,33.3333,66.6667,0,0
3,1,15,33.3333,66.6667,0,0
3,2,15,33.3333,66.6667,0,0
3,2,15,33.3333,66.6667,0,0
3,3,15,33.3333,66.6667,0,0
3,3,15,33.3333,66.6667,0,0
3,4,15,33.3333,66.6667,0,0
3,4,15,33.3333,66.6667,0,0
3,5,15,33.3333,66.6667,0,0
3,5,15,33.3333,66.6667,0,0
3,6,15,33.3333,66.6667,0,0
3,6,15,33.3333,66.6667,0,0
3,0,20,25,75,0,0
3,0,20,25,75,0,0
3,1,20,25,75,0,0
3,1,20,25,75,0,0
3,2,20,25,75,0,0
3,2,20,25,75,0,0
3,3,20,25,75,0,0
3,3,20,25,75,0,0
3,4,20,25,75,0,0
3,4,20,25,75,0,0
3,5,20,25,75,0,0
3,5,20,25,75,0,0
3,6,20,25,75,0,0
3,6,20,25,75,0,0
3,7,25,100,0,0,0
3,7,25,100,0,0,0
3,8,25,100,0,0,0
3,8,25,100,0,0,0
3,9,25,100,0,0,0
3,9,25,100,0,0,0
3,10,25,100,0,0,0
3,10,25,100,0,0,0
3,11,25,100,0,0,0
3,11,25,100,0,0,0
3,12,25,100,0,0,0
3,12,25,100,0,0,0
3,13,25,100,0,0,0
3,13,25,100,0,0,0
3,14,25,100,0,0,0
3,14,25,100,0,0,0
3,15,25,100,0,0,0
3,15,25,100,0,0,0
3,16,25,100,0,0,0
3,16,25,100,0,0,0
3,17,25,100,0,0,0
3,17,25,100,0,0,0
3,18,25,100,0,0,0
3,18,25,100,0,0,0
3,19,25,100,0,0,0
3,19,25,100,0,0,0
3,20,25,100,0,0,0
3,20,25,100,0,0,0
3,21,25,100,0,0,0
3,21,25,100,0,0,0
3,22,25,100,0,0,0
3,22,25,100,0,0,0
3,23,25,100,0,0,0
3,23,25,100,0,0,0
3,24,25,100,0,0,0
3,24,25,100,0,0,0
3,25,25,100,0,0,0
3,25,25,100,0,0,0
3,11,25,100,0,0,0
