project_id,object_id,object_type,current_time,buffer_count,stock_count
3,0,GEN,5,0,0
3,0,GEN,5,0,0
3,1,GEN,5,0,0
3,1,GEN,5,0,0
3,2,GEN,5,0,0
3,2,GEN,5,0,0
3,3,GEN,5,0,0
3,3,GEN,5,0,0
3,4,GEN,5,0,0
3,4,GEN,5,0,0
3,5,GEN,5,0,0
3,5,GEN,5,0,0
3,6,GEN,5,0,0
3,6,GEN,5,0,0
3,0,GEN,10,0,0
3,0,GEN,10,1,0
3,1,GEN,10,0,0
3,1,GEN,10,1,0
3,2,GEN,10,0,0
3,2,GEN,10,1,0
3,3,GEN,10,0,0
3,3,GEN,10,1,0
3,4,GEN,10,0,0
3,4,GEN,10,1,0
3,5,GEN,10,0,0
3,5,GEN,10,1,0
3,6,GEN,10,0,0
3,6,GEN,10,1,0
3,1,GEN,10,1,0
3,3,GEN,10,1,0
3,5,GEN,10,1,0
3,6,GEN,10,1,0
3,4,GEN,10,1,0
3,2,GEN,10,1,0
3,0,GEN,10,1,0
3,0,GEN,15,1,0
3,0,GEN,15,2,0
3,1,GEN,15,1,0
3,1,GEN,15,2,0
3,2,GEN,15,1,0
3,2,GEN,15,2,0
3,3,GEN,15,1,0
3,3,GEN,15,2,0
3,4,GEN,15,1,0
3,4,GEN,15,2,0
3,5,GEN,15,1,0
3,5,GEN,15,2,0
3,6,GEN,15,1,0
3,6,GEN,15,2,0
3,0,GEN,20,2,0
3,0,GEN,20,3,0
3,1,GEN,20,2,0
3,1,GEN,20,3,0
3,2,GEN,20,2,0
3,2,GEN,20,3,0
3,3,GEN,20,2,0
3,3,GEN,20,3,0
3,4,GEN,20,2,0
3,4,GEN,20,3,0
3,5,GEN,20,2,0
3,5,GEN,20,3,0
3,6,GEN,20,2,0
3,6,GEN,20,3,0
3,7,TRACK,25,0,0
3,7,TRACK,25,0,0
3,8,TRACK,25,0,0
3,8,TRACK,25,0,0
3,9,TRACK,25,0,0
3,9,TRACK,25,0,0
3,10,TRACK,25,0,0
3,10,TRACK,25,0,0
3,11,TRACK,25,0,0
3,11,TRACK,25,0,0
3,12,TRACK,25,0,0
3,12,TRACK,25,0,0
3,13,TRACK,25,0,0
3,13,TRACK,25,0,0
3,14,TRACK,25,0,0
3,14,TRACK,25,0,0
3,15,TRACK,25,0,0
3,15,TRACK,25,0,0
3,16,TRACK,25,0,0
3,16,TRACK,25,0,0
3,17,TRACK,25,0,0
3,17,TRACK,25,0,0
3,18,TRACK,25,0,0
3,18,TRACK,25,0,0
3,19,TRACK,25,0,0
3,19,TRACK,25,0,0
3,20,TRACK,25,0,0
3,20,TRACK,25,0,0
3,21,TRACK,25,0,0
3,21,TRACK,25,0,0
3,22,TRACK,25,0,0
3,22,TRACK,25,0,0
3,23,TRACK,25,0,0
3,23,TRACK,25,0,0
3,24,TRACK,25,0,0
3,24,TRACK,25,0,0
3,25,TRACK,25,0,0
3,25,TRACK,25,0,0
3,11,TRACK,25,0,0
3,1,GEN,25,3,0
3,6,GEN,25,3,0
3,3,GEN,25,3,0
3,7,TRACK,25,0,0
3,0,GEN,25,3,0
3,4,GEN,25,3,0
3,0,GEN,25,3,0
3,18,TRACK,25,0,0
3,3,GEN,25,3,0
3,2,GEN,25,3,0
3,5,GEN,25,3,0
3,14,TRACK,25,0,0
3,15,TRACK,25,0,0
3,14,TRACK,25,0,0
3,0,GEN,26,2,0
3,0,GEN,26,2,0
3,6,GEN,26,2,0
3,5,GEN,26,2,0
3,1,GEN,26,2,0
3,7,TRACK,26,1,0
3,6,GEN,26,2,0
3,9,TRACK,26,1,0
3,0,GEN,26,2,0
3,3,GEN,26,2,0
3,1,GEN,26,2,0
3,22,TRACK,26,1,0
3,5,GEN,26,2,0
3,23,TRACK,26,1,0
3,1,GEN,26,2,0
3,5,GEN,26,2,0
3,3,GEN,26,2,0
3,6,GEN,26,2,0
3,2,GEN,26,2,0
3,4,GEN,26,2,0
3,4,GEN,26,2,0
3,2,GEN,26,2,0
3,13,TRACK,26,1,0
3,10,TRACK,26,1,0
3,2,GEN,26,2,0
3,3,GEN,26,2,0
3,11,TRACK,26,1,0
3,4,GEN,26,2,0
3,5,GEN,27,1,0
3,6,GEN,27,1,0
3,0,GEN,27,1,0
3,5,GEN,27,1,0
3,23,TRACK,27,2,0
3,6,GEN,27,1,0
3,1,GEN,27,1,0
3,3,GEN,27,1,0
3,4,GEN,27,1,0
3,6,GEN,27,1,0
3,2,GEN,27,1,0
3,5,GEN,27,1,0
3,3,GEN,27,1,0
3,22,TRACK,27,2,0
3,13,TRACK,27,2,0
3,4,GEN,27,1,0
3,2,GEN,27,1,0
3,11,TRACK,27,2,0
3,1,GEN,27,1,0
3,10,TRACK,27,2,0
3,3,GEN,27,1,0
3,7,TRACK,27,2,0
3,0,GEN,27,1,0
3,2,GEN,27,1,0
3,9,TRACK,27,2,0
3,0,GEN,27,1,0
3,4,GEN,27,1,0
3,1,GEN,27,1,0
3,11,TRACK,28,1,0
3,12,TRACK,28,1,0
3,7,TRACK,28,1,0
3,8,TRACK,28,1,0
3,0,GEN,28,1,0
3,11,TRACK,28,1,0
3,7,TRACK,28,1,0
3,0,GEN,28,1,0
3,3,GEN,28,1,0
3,7,TRACK,28,1,0
3,7,TRACK,29,1,0
3,8,TRACK,29,2,0
3,7,TRACK,29,1,0
3,0,GEN,29,0,0
3,3,GEN,29,0,0
3,7,TRACK,29,1,0
3,11,TRACK,29,0,0
3,0,GEN,29,0,0
3,0,GEN,29,0,0
3,12,TRACK,29,2,0
3,11,TRACK,29,0,0
3,0,GEN,29,0,0
3,3,GEN,29,0,0
3,3,GEN,29,0,0
3,11,TRACK,29,1,0
3,3,GEN,29,0,0
3,0,GEN,31,0,0
3,0,GEN,31,1,0
3,1,GEN,31,1,0
3,1,GEN,31,2,0
3,2,GEN,31,1,0
3,2,GEN,31,2,0
3,3,GEN,31,0,0
3,3,GEN,31,1,0
3,4,GEN,31,1,0
3,4,GEN,31,2,0
3,5,GEN,31,1,0
3,5,GEN,31,2,0
3,6,GEN,31,1,0
3,6,GEN,31,2,0
3,3,GEN,32,0,0
3,0,GEN,32,0,0
3,7,TRACK,32,2,0
3,0,GEN,32,0,0
3,3,GEN,32,0,0
3,0,GEN,32,0,0
3,11,TRACK,32,2,0
3,3,GEN,32,0,0
3,0,GEN,36,0,0
3,0,GEN,36,1,0
3,1,GEN,36,2,0
3,1,GEN,36,3,0
3,2,GEN,36,2,0
3,2,GEN,36,3,0
3,3,GEN,36,0,0
3,3,GEN,36,1,0
3,4,GEN,36,2,0
3,4,GEN,36,3,0
3,5,GEN,36,2,0
3,5,GEN,36,3,0
3,6,GEN,36,2,0
3,6,GEN,36,3,0
3,0,GEN,41,1,0
3,0,GEN,41,1,0
3,3,GEN,41,1,0
3,3,GEN,41,1,0
3,26,PROC,45,0,0
3,26,PROC,45,0,0
3,27,PROC,45,0,0
3,27,PROC,45,0,0
3,28,PROC,45,0,0
3,28,PROC,45,0,0
3,29,PROC,45,0,0
3,29,PROC,45,0,0
3,30,PROC,45,0,0
3,30,PROC,45,0,0
3,17,TRACK,45,0,0
3,21,TRACK,45,0,0
3,30,PROC,45,0,0
3,23,TRACK,45,2,0
3,6,GEN,45,3,0
3,20,TRACK,45,0,0
3,26,PROC,45,0,0
3,28,PROC,45,0,0
3,26,PROC,45,0,0
3,9,TRACK,45,2,0
3,10,TRACK,45,2,0
3,26,PROC,45,0,0
3,1,GEN,45,3,0
3,2,GEN,45,3,0
3,17,TRACK,45,0,0
3,11,TRACK,45,2,0
3,26,PROC,45,0,0
3,9,TRACK,45,2,0
3,8,TRACK,45,2,0
3,7,TRACK,45,2,0
3,7,TRACK,45,2,0
3,0,GEN,45,1,0
3,26,PROC,45,0,0
3,2,GEN,45,3,0
3,0,GEN,45,1,0
3,10,TRACK,45,2,0
3,30,PROC,45,0,0
3,2,GEN,45,3,0
3,28,PROC,45,0,0
3,19,TRACK,45,0,0
3,18,TRACK,45,0,0
3,27,PROC,45,0,0
3,13,TRACK,45,2,0
3,4,GEN,45,3,0
3,22,TRACK,45,2,0
3,5,GEN,45,3,0
3,26,PROC,45,0,0
3,11,TRACK,45,2,0
3,9,TRACK,45,2,0
3,26,PROC,45,0,0
3,3,GEN,45,1,0
3,1,GEN,45,3,0
3,12,TRACK,45,2,0
3,19,TRACK,45,0,0
3,16,TRACK,45,0,0
3,6,GEN,45,3,0
3,23,TRACK,45,2,0
3,15,TRACK,45,0,0
3,18,TRACK,45,0,0
3,27,PROC,45,0,0
3,14,TRACK,45,0,0
3,13,TRACK,45,2,0
3,26,PROC,45,0,0
3,26,PROC,45,0,0
3,10,TRACK,45,2,0
3,2,GEN,45,3,0
3,26,PROC,45,0,0
3,4,GEN,45,3,0
3,12,TRACK,45,2,0
3,26,PROC,45,0,0
3,7,TRACK,45,2,0
3,0,GEN,45,1,0
3,8,TRACK,45,2,0
3,9,TRACK,45,2,0
3,11,TRACK,45,2,0
3,26,PROC,45,0,0
3,1,GEN,45,3,0
3,8,TRACK,45,2,0
3,3,GEN,45,1,0
3,7,TRACK,45,2,0
3,22,TRACK,45,2,0
3,13,TRACK,45,2,0
3,5,GEN,45,3,0
3,4,GEN,45,3,0
3,8,TRACK,45,2,0
3,0,GEN,45,1,0
3,12,TRACK,45,2,0
3,1,GEN,45,3,0
3,3,GEN,45,1,0
3,12,TRACK,45,2,0
3,11,TRACK,45,2,0
3,3,GEN,45,1,0
3,10,TRACK,45,2,0
3,0,GEN,46,1,0
3,0,GEN,46,2,0
3,3,GEN,46,1,0
3,3,GEN,46,2,0
3,9,TRACK,46,1,0
3,10,TRACK,46,1,0
3,8,TRACK,46,1,0
3,26,PROC,46,1,0
3,26,PROC,46,1,0
3,9,TRACK,46,1,0
3,8,TRACK,46,1,0
3,9,TRACK,46,1,0
3,8,TRACK,46,1,0
3,1,GEN,46,3,0
3,26,PROC,46,1,0
3,7,TRACK,46,2,0
3,2,GEN,46,3,0
3,10,TRACK,46,1,0
3,10,TRACK,46,1,0
3,2,GEN,46,3,0
3,7,TRACK,46,2,0
3,1,GEN,46,3,0
3,0,GEN,46,2,0
3,23,TRACK,46,1,0
3,30,PROC,46,0,0
3,0,GEN,46,2,0
3,22,TRACK,46,1,0
3,22,TRACK,46,1,0
3,6,GEN,46,3,0
3,13,TRACK,46,1,0
3,23,TRACK,46,1,0
3,26,PROC,46,1,0
3,30,PROC,46,1,0
3,5,GEN,46,3,0
3,22,TRACK,46,1,0
3,6,GEN,46,3,0
3,5,GEN,46,3,0
3,23,TRACK,46,1,0
3,13,TRACK,46,1,0
3,11,TRACK,46,2,0
3,3,GEN,46,2,0
3,12,TRACK,46,1,0
3,12,TRACK,46,1,0
3,4,GEN,46,3,0
3,27,PROC,46,1,0
3,13,TRACK,46,1,0
3,4,GEN,46,3,0
3,5,GEN,47,2,0
3,6,GEN,47,2,0
3,5,GEN,47,2,0
3,22,TRACK,47,2,0
3,5,GEN,47,2,0
3,6,GEN,47,2,0
3,23,TRACK,47,2,0
3,2,GEN,47,2,0
3,6,GEN,47,2,0
3,4,GEN,47,2,0
3,13,TRACK,47,2,0
3,4,GEN,47,2,0
3,4,GEN,47,2,0
3,2,GEN,47,2,0
3,1,GEN,47,2,0
3,1,GEN,47,2,0
3,10,TRACK,47,2,0
3,2,GEN,47,2,0
3,9,TRACK,47,2,0
3,1,GEN,47,2,0
3,13,TRACK,48,1,0
3,8,TRACK,48,1,0
3,7,TRACK,48,1,0
3,0,GEN,48,2,0
3,23,TRACK,48,1,0
3,22,TRACK,48,1,0
3,23,TRACK,48,1,0
3,6,GEN,48,2,0
3,13,TRACK,48,1,0
3,23,TRACK,48,1,0
3,6,GEN,48,2,0
3,30,PROC,48,1,0
3,5,GEN,48,2,0
3,22,TRACK,48,1,0
3,4,GEN,48,2,0
3,30,PROC,48,2,0
3,22,TRACK,48,1,0
3,5,GEN,48,2,0
3,10,TRACK,48,1,0
3,11,TRACK,48,1,0
3,26,PROC,48,1,0
3,3,GEN,48,2,0
3,12,TRACK,48,0,0
3,11,TRACK,48,1,0
3,3,GEN,48,2,0
3,12,TRACK,48,0,0
3,27,PROC,48,2,0
3,10,TRACK,48,1,0
3,2,GEN,48,2,0
3,11,TRACK,48,1,0
3,12,TRACK,48,1,0
3,13,TRACK,48,1,0
3,11,TRACK,48,1,0
3,4,GEN,48,2,0
3,3,GEN,48,2,0
3,26,PROC,48,1,0
3,26,PROC,48,1,0
3,10,TRACK,48,1,0
3,2,GEN,48,2,0
3,9,TRACK,48,1,0
3,1,GEN,48,2,0
3,9,TRACK,48,1,0
3,1,GEN,48,2,0
3,9,TRACK,48,1,0
3,8,TRACK,48,1,0
3,7,TRACK,48,1,0
3,26,PROC,48,2,0
3,8,TRACK,48,1,0
3,7,TRACK,48,1,0
3,0,GEN,48,2,0
3,22,TRACK,49,0,0
3,13,TRACK,49,0,0
3,23,TRACK,49,0,0
3,10,TRACK,49,0,0
3,27,PROC,49,3,0
3,9,TRACK,49,0,0
3,2,GEN,49,1,0
3,5,GEN,49,1,0
3,6,GEN,49,1,0
3,6,GEN,49,1,0
3,13,TRACK,49,0,0
3,6,GEN,49,1,0
3,4,GEN,49,1,0
3,30,PROC,49,3,0
3,22,TRACK,49,0,0
3,5,GEN,49,1,0
3,5,GEN,49,1,0
3,13,TRACK,49,1,0
3,6,GEN,49,1,0
3,2,GEN,49,1,0
3,4,GEN,49,1,0
3,4,GEN,49,1,0
3,4,GEN,49,1,0
3,22,TRACK,49,1,0
3,5,GEN,49,1,0
3,3,GEN,49,1,0
3,3,GEN,49,1,0
3,1,GEN,49,1,0
3,11,TRACK,49,2,0
3,3,GEN,49,1,0
3,10,TRACK,49,1,0
3,9,TRACK,49,1,0
3,2,GEN,49,1,0
3,1,GEN,49,1,0
3,1,GEN,49,1,0
3,0,GEN,49,1,0
3,0,GEN,49,1,0
3,30,PROC,49,3,0
3,23,TRACK,49,1,0
3,26,PROC,49,2,0
3,10,TRACK,49,1,0
3,2,GEN,49,1,0
3,23,TRACK,49,1,0
3,7,TRACK,49,2,0
3,26,PROC,49,2,0
3,9,TRACK,49,1,0
3,1,GEN,49,1,0
3,0,GEN,49,1,0
3,26,PROC,50,2,0
3,26,PROC,50,2,0
3,27,PROC,50,3,0
3,27,PROC,50,3,0
3,28,PROC,50,0,0
3,28,PROC,50,0,0
3,29,PROC,50,0,0
3,29,PROC,50,0,0
3,30,PROC,50,3,0
3,30,PROC,50,3,0
3,2,GEN,50,0,0
3,12,TRACK,50,0,0
3,9,TRACK,50,2,0
3,11,TRACK,50,1,0
3,1,GEN,50,0,0
3,4,GEN,50,0,0
3,1,GEN,50,0,0
3,11,TRACK,50,1,0
3,3,GEN,50,1,0
3,26,PROC,50,2,0
3,2,GEN,50,0,0
3,4,GEN,50,0,0
3,8,TRACK,50,0,0
3,26,PROC,50,3,0
3,12,TRACK,50,1,0
3,11,TRACK,50,1,0
3,8,TRACK,50,0,0
3,7,TRACK,50,1,0
3,0,GEN,50,1,0
3,11,TRACK,50,1,0
3,3,GEN,50,1,0
3,3,GEN,50,1,0
3,12,TRACK,50,1,0
3,7,TRACK,50,1,0
3,23,TRACK,50,2,0
3,1,GEN,50,0,0
3,13,TRACK,50,2,0
3,4,GEN,50,0,0
3,6,GEN,50,0,0
3,22,TRACK,50,2,0
3,8,TRACK,50,1,0
3,10,TRACK,50,2,0
3,5,GEN,50,0,0
3,7,TRACK,50,1,0
3,2,GEN,50,0,0
3,6,GEN,50,0,0
3,5,GEN,50,0,0
3,0,GEN,50,1,0
3,6,GEN,50,0,0
3,5,GEN,50,0,0
3,0,GEN,51,1,0
3,0,GEN,51,2,0
3,3,GEN,51,1,0
3,3,GEN,51,2,0
3,26,PROC,51,2,0
3,30,PROC,51,2,0
3,0,GEN,51,1,0
3,30,PROC,51,2,0
3,0,GEN,51,1,0
3,23,TRACK,51,1,0
3,27,PROC,51,2,0
3,10,TRACK,51,1,0
3,7,TRACK,51,1,0
3,11,TRACK,51,1,0
3,3,GEN,51,1,0
3,13,TRACK,51,1,0
3,22,TRACK,51,1,0
3,26,PROC,51,2,0
3,9,TRACK,51,1,0
3,4,GEN,51,0,0
3,13,TRACK,51,1,0
3,8,TRACK,51,2,0
3,21,TRACK,51,1,0
3,27,PROC,51,3,0
3,30,PROC,51,3,0
3,11,TRACK,51,1,0
3,7,TRACK,51,1,0
3,27,PROC,51,3,0
3,0,GEN,51,1,0
3,22,TRACK,51,1,0
3,30,PROC,51,3,0
3,23,TRACK,51,1,0
3,4,GEN,51,0,0
3,6,GEN,51,0,0
3,13,TRACK,51,1,0
3,22,TRACK,51,1,0
3,7,TRACK,51,1,0
3,2,GEN,51,0,0
3,12,TRACK,51,2,0
3,5,GEN,51,0,0
3,11,TRACK,51,1,0
3,6,GEN,51,0,0
3,26,PROC,51,2,0
3,3,GEN,51,1,0
3,26,PROC,51,2,0
3,26,PROC,51,2,0
3,14,TRACK,51,1,0
3,10,TRACK,51,1,0
3,12,TRACK,51,2,0
3,23,TRACK,51,1,0
3,11,TRACK,51,1,0
3,2,GEN,51,0,0
