project_id,object_id,current_time,init_time,active_time,error_time,pause_time
4,0,5,5,0,0,0
4,0,5,5,0,0,0
4,1,5,5,0,0,0
4,1,5,5,0,0,0
4,2,5,5,0,0,0
4,2,5,5,0,0,0
4,3,5,5,0,0,0
4,3,5,5,0,0,0
4,4,5,5,0,0,0
4,4,5,5,0,0,0
4,5,5,5,0,0,0
4,5,5,5,0,0,0
4,6,5,5,0,0,0
4,6,5,5,0,0,0
4,0,10,5,5,0,0
4,0,10,5,5,0,0
4,1,10,5,5,0,0
4,1,10,5,5,0,0
4,2,10,5,5,0,0
4,2,10,5,5,0,0
4,3,10,5,5,0,0
4,3,10,5,5,0,0
4,4,10,5,5,0,0
4,4,10,5,5,0,0
4,5,10,5,5,0,0
4,5,10,5,5,0,0
4,6,10,5,5,0,0
4,6,10,5,5,0,0
4,1,10,5,5,0,0
4,5,10,5,5,0,0
4,6,10,5,5,0,0
4,3,10,5,5,0,0
4,4,10,5,5,0,0
4,2,10,5,5,0,0
4,0,10,5,5,0,0
4,0,15,5,10,0,0
4,0,15,5,10,0,0
4,1,15,5,10,0,0
4,1,15,5,10,0,0
4,2,15,5,10,0,0
4,2,15,5,10,0,0
4,3,15,5,10,0,0
4,3,15,5,10,0,0
4,4,15,5,10,0,0
4,4,15,5,10,0,0
4,5,15,5,10,0,0
4,5,15,5,10,0,0
4,6,15,5,10,0,0
4,6,15,5,10,0,0
4,0,20,5,15,0,0
4,0,20,5,15,0,0
4,1,20,5,15,0,0
4,1,20,5,15,0,0
4,2,20,5,15,0,0
4,2,20,5,15,0,0
4,3,20,5,15,0,0
4,3,20,5,15,0,0
4,4,20,5,15,0,0
4,4,20,5,15,0,0
4,5,20,5,15,0,0
4,5,20,5,15,0,0
4,6,20,5,15,0,0
4,6,20,5,15,0,0
4,7,25,25,0,0,0
4,7,25,25,0,0,0
4,8,25,25,0,0,0
4,8,25,25,0,0,0
4,9,25,25,0,0,0
4,9,25,25,0,0,0
4,10,25,25,0,0,0
4,10,25,25,0,0,0
4,11,25,25,0,0,0
4,11,25,25,0,0,0
4,12,25,25,0,0,0
4,12,25,25,0,0,0
4,13,25,25,0,0,0
4,13,25,25,0,0,0
4,14,25,25,0,0,0
4,14,25,25,0,0,0
4,15,25,25,0,0,0
4,15,25,25,0,0,0
4,16,25,25,0,0,0
4,16,25,25,0,0,0
4,17,25,25,0,0,0
4,17,25,25,0,0,0
4,18,25,25,0,0,0
4,18,25,25,0,0,0
4,19,25,25,0,0,0
4,19,25,25,0,0,0
4,20,25,25,0,0,0
4,20,25,25,0,0,0
4,21,25,25,0,0,0
4,21,25,25,0,0,0
4,22,25,25,0,0,0
4,22,25,25,0,0,0
4,23,25,25,0,0,0
4,23,25,25,0,0,0
4,24,25,25,0,0,0
4,24,25,25,0,0,0
4,25,25,25,0,0,0
4,25,25,25,0,0,0
4,26,25,25,0,0,0
4,26,25,25,0,0,0
4,11,25,25,0,0,0
4,4,25,5,15,0,5
4,14,25,25,0,0,0
4,3,25,5,15,0,5
4,7,25,25,0,0,0
4,2,25,5,15,0,5
4,1,25,5,15,0,5
4,0,25,5,15,0,5
4,6,25,5,15,0,5
4,18,25,25,0,0,0
4,5,25,5,15,0,5
4,0,25,5,15,0,5
4,3,25,5,15,0,5
4,15,25,25,0,0,0
4,14,25,25,0,0,0
4,6,26,5,15,0,6
4,7,26,25,1,0,0
4,2,26,5,15,0,6
4,6,26,5,15,0,6
4,0,26,5,15,0,6
4,22,26,25,1,0,0
4,11,26,25,1,0,0
4,3,26,5,15,0,6
4,5,26,5,15,0,6
4,5,26,5,15,0,6
4,23,26,25,1,0,0
4,6,26,5,15,0,6
4,5,26,5,15,0,6
4,3,26,5,15,0,6
4,4,26,5,15,0,6
4,3,26,5,15,0,6
4,4,26,5,15,0,6
4,0,26,5,15,0,6
4,1,26,5,15,0,6
4,13,26,25,1,0,0
4,4,26,5,15,0,6
4,2,26,5,15,0,6
