Scenario Num,Time,GEN Count,TRACK Count,PROC Count,STOCK CountALL Count
4,1000,7,20,5,3,35

State Avg Time
INIT TIME,ACTIVE TIME,ERROR TIME,PAUSE TIME
27.2857,707.171,42.0857,223.457

State Avg Rate
INIT TIME,ACTIVE TIME,ERROR TIME,PAUSE TIME
2.72857,70.7171,4.20857,22.3457

Product
All Product Count,All Product Time Sum,All Product Time Avg
78,3894,49.9231

INIT TIME
GEN INIT,TRACK INIT,PROC INIT,STOCK INIT
5,25,45,65

