project_id,object_id,current_time,init_time,active_time,error_time,pause_time
5,0,5,5,0,0,0
5,0,5,5,0,0,0
5,0,10,5,5,0,0
5,0,10,5,5,0,0
5,0,10,5,5,0,0
5,0,15,5,10,0,0
5,0,15,5,10,0,0
5,0,20,5,15,0,0
5,0,20,5,15,0,0
5,1,25,25,0,0,0
5,1,25,25,0,0,0
5,2,25,25,0,0,0
5,2,25,25,0,0,0
5,3,25,25,0,0,0
5,3,25,25,0,0,0
5,0,25,5,15,0,5
5,0,26,5,15,0,6
5,1,26,25,1,0,0
5,0,26,5,15,0,6
5,0,26,5,15,0,6
5,0,27,5,16,0,6
5,0,27,5,16,0,6
5,1,27,25,2,0,0
5,0,27,5,16,0,6
5,0,31,5,20,0,6
5,0,31,5,20,0,6
5,0,36,5,25,0,6
5,0,36,5,25,0,6
5,4,45,45,0,0,0
5,4,45,45,0,0,0
5,1,45,25,2,0,18
5,0,45,5,25,0,15
5,1,46,25,2,0,19
5,0,46,5,25,0,16
5,4,46,45,1,0,0
5,0,46,5,25,0,16
5,1,46,25,2,0,19
5,1,46,25,2,0,19
5,0,47,5,25,0,17
5,1,47,25,3,0,19
5,0,47,5,25,0,17
5,0,47,5,25,0,17
5,1,48,25,3,0,20
5,4,48,45,3,0,0
5,1,48,25,3,0,20
5,0,48,5,26,0,17
5,1,49,25,4,0,20
5,4,49,45,4,0,0
5,0,49,5,27,0,17
5,1,49,25,4,0,20
5,1,49,25,4,0,20
5,0,49,5,27,0,17
5,0,49,5,27,0,17
5,0,49,5,27,0,17
5,4,50,45,5,0,0
5,4,50,45,5,0,0
5,0,50,5,28,0,17
5,1,50,25,5,0,20
5,0,50,5,28,0,17
5,0,50,5,28,0,17
5,4,51,45,6,0,0
5,1,51,25,5,0,21
5,4,51,45,6,0,0
5,3,51,25,26,0,0
5,1,51,25,5,0,21
5,1,51,25,5,0,21
5,4,51,45,6,0,0
5,0,51,5,29,0,17
5,2,51,25,26,0,0
5,0,51,5,29,0,17
5,4,51,45,6,0,0
5,1,51,25,5,0,21
5,0,51,5,29,0,17
5,0,52,5,30,0,17
5,0,52,5,30,0,17
5,1,52,25,6,0,21
5,4,52,45,7,0,0
5,0,52,5,30,0,17
5,1,52,25,6,0,21
5,0,53,5,30,1,17
5,1,53,25,7,0,21
5,0,53,5,30,1,17
5,0,53,5,30,1,17
5,2,56,25,31,0,0
5,3,56,25,31,0,0
5,4,56,45,7,0,4
5,1,56,25,10,0,21
5,4,56,45,7,0,4
5,4,56,45,7,0,4
5,0,56,5,30,4,17
5,1,56,25,10,0,21
5,0,56,5,30,4,17
5,0,57,5,30,5,17
5,0,57,5,30,5,17
5,1,58,25,12,0,21
5,4,58,45,9,0,4
5,1,58,25,12,0,21
5,0,58,5,31,5,17
5,4,61,45,9,0,7
5,4,61,45,9,0,7
5,3,61,25,36,0,0
5,4,61,45,9,0,7
5,1,61,25,15,0,21
5,2,61,25,36,0,0
5,0,61,5,34,5,17
5,0,61,5,34,5,17
5,1,61,25,15,0,21
5,0,62,5,35,5,17
5,0,62,5,35,5,17
5,0,63,5,36,5,17
5,1,63,25,17,0,21
5,0,63,5,36,5,17
5,0,63,5,36,5,17
5,5,65,65,0,0,0
5,5,65,65,0,0,0
5,6,65,65,0,0,0
5,6,65,65,0,0,0
5,2,65,25,40,0,0
5,4,65,45,13,0,7
5,1,65,25,19,0,21
5,3,65,25,36,0,4
5,0,65,5,38,5,17
5,1,65,25,19,0,21
5,4,65,45,13,0,7
5,4,65,45,13,0,7
5,0,65,5,38,5,17
5,0,65,5,38,5,17
5,1,65,25,19,0,21
5,1,65,25,19,0,21
5,2,66,25,41,0,0
5,4,66,45,13,0,8
5,2,66,25,41,0,0
5,4,66,45,13,0,8
5,1,66,25,20,0,21
5,0,66,5,39,5,17
5,4,66,45,13,0,8
5,1,66,25,20,0,21
5,0,66,5,39,5,17
5,2,66,25,41,0,0
5,0,67,5,40,5,17
5,0,67,5,40,5,17
5,3,67,25,36,0,6
5,3,67,25,36,0,6
5,4,67,45,14,0,8
5,4,67,45,14,0,8
5,3,67,25,36,0,6
5,1,67,25,21,0,21
5,0,67,5,40,5,17
5,1,67,25,21,0,21
5,0,67,5,40,5,17
5,0,68,5,41,5,17
5,2,68,25,43,0,0
5,2,68,25,43,0,0
5,4,68,45,15,0,8
5,0,68,5,41,5,17
5,1,68,25,22,0,21
5,1,68,25,22,0,21
5,0,68,5,41,5,17
5,0,68,5,41,5,17
5,3,69,25,38,0,6
5,3,69,25,38,0,6
5,1,69,25,23,0,21
5,0,69,5,42,5,17
5,4,69,45,16,0,8
5,5,70,65,5,0,0
5,5,70,65,5,0,0
5,6,70,65,5,0,0
5,6,70,65,5,0,0
5,4,70,45,17,0,8
5,1,70,25,24,0,21
5,1,70,25,24,0,21
5,3,70,25,39,0,6
5,1,70,25,24,0,21
5,4,70,45,17,0,8
5,4,70,45,17,0,8
5,1,70,25,24,0,21
5,0,70,5,43,5,17
5,0,70,5,43,5,17
5,0,70,5,43,5,17
5,2,70,25,45,0,0
5,2,71,25,46,0,0
5,4,71,45,17,0,9
5,4,71,45,17,0,9
5,1,71,25,25,0,21
5,0,71,5,44,5,17
5,4,71,45,17,0,9
5,1,71,25,25,0,21
5,0,71,5,44,5,17
5,3,71,25,40,0,6
5,0,72,5,45,5,17
5,0,72,5,45,5,17
5,3,73,25,42,0,6
5,1,73,25,27,0,21
5,0,73,5,46,5,17
5,0,73,5,46,5,17
5,0,73,5,46,5,17
5,4,73,45,19,0,9
5,1,73,25,27,0,21
5,0,73,5,46,5,17
5,3,73,25,42,0,6
5,5,75,65,10,0,0
5,5,75,65,10,0,0
5,6,75,65,10,0,0
5,6,75,65,10,0,0
5,3,75,25,44,0,6
5,1,75,25,29,0,21
5,0,75,5,48,5,17
5,2,75,25,50,0,0
5,1,75,25,29,0,21
5,0,75,5,48,5,17
5,1,75,25,29,0,21
5,4,75,45,21,0,9
5,4,75,45,21,0,9
5,4,75,45,21,0,9
5,1,75,25,29,0,21
5,0,75,5,48,5,17
5,2,76,25,51,0,0
5,3,76,25,45,0,6
5,4,76,45,21,0,10
5,4,76,45,21,0,10
5,1,76,25,30,0,21
5,0,76,5,49,5,17
5,4,76,45,21,0,10
5,1,76,25,30,0,21
5,0,76,5,49,5,17
5,0,77,5,50,5,17
5,0,77,5,50,5,17
5,1,78,25,32,0,21
5,0,78,5,51,5,17
5,0,78,5,51,5,17
5,2,78,25,53,0,0
5,0,78,5,51,5,17
5,4,78,45,23,0,10
5,1,78,25,32,0,21
5,0,78,5,51,5,17
5,2,78,25,53,0,0
5,5,80,65,15,0,0
5,5,80,65,15,0,0
5,6,80,65,15,0,0
5,6,80,65,15,0,0
5,3,80,25,49,0,6
5,1,80,25,34,0,21
5,0,80,5,53,5,17
5,2,80,25,55,0,0
5,1,80,25,34,0,21
5,0,80,5,53,5,17
5,1,80,25,34,0,21
5,4,80,45,25,0,10
5,4,80,45,25,0,10
5,4,80,45,25,0,10
5,1,80,25,34,0,21
5,0,80,5,53,5,17
5,2,81,25,56,0,0
5,3,81,25,50,0,6
5,4,81,45,25,0,11
5,4,81,45,25,0,11
5,1,81,25,35,0,21
5,0,81,5,54,5,17
5,4,81,45,25,0,11
5,1,81,25,35,0,21
5,0,81,5,54,5,17
5,0,82,5,55,5,17
5,0,82,5,55,5,17
5,2,83,25,58,0,0
5,2,83,25,58,0,0
5,4,83,45,27,0,11
5,1,83,25,37,0,21
5,0,83,5,55,6,17
5,0,84,5,55,7,17
5,1,84,25,38,0,21
5,0,84,5,55,7,17
5,0,84,5,55,7,17
5,5,85,65,20,0,0
5,5,85,65,20,0,0
5,6,85,65,20,0,0
5,6,85,65,20,0,0
5,2,85,25,60,0,0
5,3,85,25,54,0,6
5,4,85,45,29,0,11
5,0,85,5,55,8,17
5,1,85,25,39,0,21
5,1,85,25,39,0,21
5,4,85,45,29,0,11
5,0,85,5,55,8,17
5,4,86,45,30,0,11
5,4,86,45,30,0,11
5,4,86,45,30,0,11
5,1,86,25,40,0,21
5,0,86,5,55,9,17
5,1,86,25,40,0,21
5,4,86,45,30,0,11
5,3,86,25,55,0,6
5,4,86,45,30,0,11
5,2,86,25,61,0,0
5,4,86,45,30,0,11
5,1,86,25,40,0,21
5,0,86,5,55,9,17
5,1,86,25,40,0,21
5,0,86,5,55,9,17
5,0,87,5,55,10,17
5,0,87,5,55,10,17
5,3,88,25,57,0,6
5,3,88,25,57,0,6
5,4,88,45,32,0,11
5,1,88,25,42,0,21
5,0,88,5,56,10,17
5,5,90,65,25,0,0
5,5,90,65,25,0,0
5,6,90,65,25,0,0
5,6,90,65,25,0,0
5,2,90,25,65,0,0
5,3,90,25,59,0,6
5,4,90,45,34,0,11
5,1,90,25,44,0,21
5,0,90,5,58,10,17
5,4,90,45,34,0,11
5,1,90,25,44,0,21
5,0,90,5,58,10,17
5,4,91,45,35,0,11
5,4,91,45,35,0,11
5,2,91,25,66,0,0
5,3,91,25,60,0,6
5,4,91,45,35,0,11
5,4,91,45,35,0,11
5,0,91,5,59,10,17
5,1,91,25,45,0,21
5,1,91,25,45,0,21
5,4,91,45,35,0,11
5,0,91,5,59,10,17
5,0,92,5,60,10,17
5,0,92,5,60,10,17
5,1,93,25,47,0,21
5,0,93,5,61,10,17
5,3,93,25,62,0,6
5,3,93,25,62,0,6
5,1,93,25,47,0,21
5,0,93,5,61,10,17
5,0,93,5,61,10,17
5,0,93,5,61,10,17
5,4,93,45,37,0,11
5,5,95,65,25,5,0
5,5,95,65,25,5,0
5,6,95,65,25,5,0
5,6,95,65,25,5,0
5,1,95,25,49,0,21
5,4,95,45,39,0,11
5,1,95,25,49,0,21
5,0,95,5,63,10,17
5,4,96,45,40,0,11
5,4,96,45,40,0,11
5,2,96,25,71,0,0
5,3,96,25,65,0,6
5,4,96,45,40,0,11
5,4,96,45,40,0,11
5,1,96,25,50,0,21
5,0,96,5,64,10,17
5,4,96,45,40,0,11
5,1,96,25,50,0,21
5,0,96,5,64,10,17
5,0,97,5,65,10,17
5,0,97,5,65,10,17
5,1,98,25,52,0,21
5,0,98,5,66,10,17
5,0,98,5,66,10,17
5,2,98,25,73,0,0
5,0,98,5,66,10,17
5,4,98,45,42,0,11
5,1,98,25,52,0,21
5,0,98,5,66,10,17
5,2,98,25,73,0,0
5,5,100,65,30,5,0
5,5,100,65,30,5,0
5,6,100,65,30,5,0
