project_id,object_id,object_type,current_time,buffer_count,stock_count
2,0,GEN,5,0,0
2,0,GEN,5,1,0
2,1,GEN,5,0,0
2,1,GEN,5,1,0
2,2,GEN,5,0,0
2,2,GEN,5,1,0
2,3,TRACK,5,0,0
2,3,TRACK,5,0,0
2,4,TRACK,5,0,0
2,4,TRACK,5,0,0
2,5,TRACK,5,0,0
2,5,TRACK,5,0,0
2,6,TRACK,5,0,0
2,6,TRACK,5,0,0
2,7,TRACK,5,0,0
2,7,TRACK,5,0,0
2,8,TRACK,5,0,0
2,8,TRACK,5,0,0
2,9,PROC,5,0,0
2,9,PROC,5,0,0
2,10,PROC,5,0,0
2,10,PROC,5,0,0
2,11,STOCK,5,0,0
2,11,STOCK,5,0,0
2,12,STOCK,5,0,0
2,12,STOCK,5,0,0
2,1,GEN,5,1,0
2,0,GEN,5,1,0
2,2,GEN,5,1,0
2,1,GEN,6,0,0
2,0,GEN,6,0,0
2,3,TRACK,6,1,0
2,2,GEN,6,0,0
2,4,TRACK,6,1,0
2,6,TRACK,6,1,0
2,3,TRACK,8,0,0
2,6,TRACK,8,0,0
2,9,PROC,8,1,0
2,9,PROC,8,1,0
2,4,TRACK,8,0,0
2,10,PROC,8,0,0
2,0,GEN,10,0,0
2,0,GEN,10,1,0
2,1,GEN,10,0,0
2,1,GEN,10,1,0
2,2,GEN,10,0,0
2,2,GEN,10,1,0
2,9,PROC,10,1,0
2,9,PROC,10,1,0
2,10,PROC,10,0,0
2,10,PROC,10,0,0
2,11,STOCK,10,0,0
2,11,STOCK,10,0,0
2,12,STOCK,10,0,0
2,12,STOCK,10,0,0
2,2,GEN,10,0,0
2,6,TRACK,10,1,0
2,2,GEN,10,0,0
2,1,GEN,10,0,0
2,4,TRACK,10,1,0
2,1,GEN,10,0,0
2,0,GEN,10,0,0
2,3,TRACK,10,1,0
2,0,GEN,10,0,0
2,3,TRACK,12,0,0
2,9,PROC,12,2,0
2,6,TRACK,12,0,0
2,10,PROC,12,0,0
2,4,TRACK,12,0,0
2,9,PROC,12,2,0
2,9,PROC,13,1,0
2,5,TRACK,13,1,0
2,0,GEN,15,0,0
2,0,GEN,15,1,0
2,1,GEN,15,0,0
2,1,GEN,15,1,0
2,2,GEN,15,0,0
2,2,GEN,15,1,0
2,9,PROC,15,1,0
2,9,PROC,15,1,0
2,10,PROC,15,0,0
2,10,PROC,15,0,0
2,11,STOCK,15,0,0
2,11,STOCK,15,0,0
2,12,STOCK,15,0,0
2,12,STOCK,15,0,0
2,5,TRACK,15,0,0
2,0,GEN,15,0,0
2,10,PROC,15,1,0
2,2,GEN,15,0,0
2,6,TRACK,15,1,0
2,2,GEN,15,0,0
2,1,GEN,15,0,0
2,4,TRACK,15,1,0
2,1,GEN,15,0,0
2,0,GEN,15,0,0
2,3,TRACK,15,1,0
2,9,PROC,16,2,0
2,4,TRACK,16,0,0
2,6,TRACK,16,0,0
2,10,PROC,16,1,0
2,3,TRACK,16,0,0
2,9,PROC,16,2,0
2,0,GEN,20,0,0
2,0,GEN,20,1,0
2,1,GEN,20,0,0
2,1,GEN,20,1,0
2,2,GEN,20,0,0
2,2,GEN,20,1,0
2,9,PROC,20,2,0
2,9,PROC,20,2,0
2,10,PROC,20,1,0
2,10,PROC,20,1,0
2,11,STOCK,20,0,0
2,11,STOCK,20,0,0
2,12,STOCK,20,0,0
2,12,STOCK,20,0,0
2,2,GEN,20,0,0
2,6,TRACK,20,1,0
2,1,GEN,20,0,0
2,10,PROC,20,0,0
2,0,GEN,20,0,0
2,8,TRACK,20,1,0
2,4,TRACK,20,1,0
2,7,TRACK,20,0,0
2,2,GEN,20,0,0
2,0,GEN,20,0,0
2,1,GEN,20,0,0
2,3,TRACK,20,1,0
2,9,PROC,21,1,0
2,5,TRACK,21,1,0
2,6,TRACK,22,0,0
2,8,TRACK,22,0,0
2,9,PROC,22,2,0
2,10,PROC,22,0,0
2,4,TRACK,22,0,0
2,9,PROC,22,2,0
2,3,TRACK,22,0,0
2,5,TRACK,23,0,0
2,10,PROC,23,1,0
2,0,GEN,25,0,0
2,0,GEN,25,1,0
2,1,GEN,25,0,0
2,1,GEN,25,1,0
2,2,GEN,25,0,0
2,2,GEN,25,1,0
2,9,PROC,25,2,0
2,9,PROC,25,2,0
2,10,PROC,25,1,0
2,10,PROC,25,1,0
2,11,STOCK,25,0,0
2,11,STOCK,25,0,0
2,12,STOCK,25,1,0
2,12,STOCK,25,1,0
2,4,TRACK,25,1,0
2,2,GEN,25,0,0
2,0,GEN,25,0,0
2,10,PROC,25,0,0
2,8,TRACK,25,1,0
2,7,TRACK,25,0,0
2,2,GEN,25,0,0
2,6,TRACK,25,1,0
2,0,GEN,25,0,0
2,3,TRACK,25,1,0
2,1,GEN,25,0,0
2,1,GEN,25,0,0
2,4,TRACK,26,0,0
2,8,TRACK,26,0,0
2,6,TRACK,26,0,0
2,10,PROC,26,0,0
2,9,PROC,26,3,0
2,3,TRACK,26,0,0
2,9,PROC,26,3,0
2,9,PROC,27,2,0
2,5,TRACK,27,1,0
2,5,TRACK,29,0,0
2,10,PROC,29,1,0
2,0,GEN,30,0,0
2,0,GEN,30,0,0
2,1,GEN,30,0,0
2,1,GEN,30,0,0
2,2,GEN,30,0,0
2,2,GEN,30,0,0
2,9,PROC,30,2,0
2,9,PROC,30,2,0
2,10,PROC,30,1,0
2,10,PROC,30,1,0
2,11,STOCK,30,0,0
2,11,STOCK,30,0,0
2,12,STOCK,30,1,1
2,12,STOCK,30,1,1
2,10,PROC,30,0,0
2,8,TRACK,30,0,0
2,7,TRACK,30,1,0
2,7,TRACK,32,0,0
2,0,GEN,35,0,0
2,0,GEN,35,1,0
2,1,GEN,35,0,0
2,1,GEN,35,1,0
2,2,GEN,35,0,0
2,2,GEN,35,1,0
2,9,PROC,35,2,0
2,9,PROC,35,2,0
2,10,PROC,35,0,0
2,10,PROC,35,0,0
2,11,STOCK,35,1,0
2,11,STOCK,35,1,0
2,12,STOCK,35,1,1
2,12,STOCK,35,1,1
2,0,GEN,35,1,0
2,2,GEN,35,1,0
2,1,GEN,35,1,0
2,2,GEN,36,0,0
2,4,TRACK,36,1,0
2,6,TRACK,36,1,0
2,1,GEN,36,0,0
2,0,GEN,36,0,0
2,3,TRACK,36,1,0
2,6,TRACK,38,0,0
2,3,TRACK,38,0,0
2,10,PROC,38,0,0
2,4,TRACK,38,0,0
2,9,PROC,38,2,0
2,9,PROC,38,3,0
2,0,GEN,40,0,0
2,0,GEN,40,1,0
2,1,GEN,40,0,0
2,1,GEN,40,1,0
2,2,GEN,40,0,0
2,2,GEN,40,1,0
2,9,PROC,40,3,0
2,9,PROC,40,3,0
2,10,PROC,40,0,0
2,10,PROC,40,0,0
2,11,STOCK,40,1,0
2,11,STOCK,40,1,0
2,12,STOCK,40,1,1
2,12,STOCK,40,1,1
2,1,GEN,40,0,0
2,2,GEN,40,0,0
2,0,GEN,40,0,0
2,4,TRACK,40,1,0
2,3,TRACK,40,1,0
2,9,PROC,40,2,0
2,2,GEN,40,0,0
2,0,GEN,40,0,0
2,6,TRACK,40,1,0
2,1,GEN,40,0,0
2,5,TRACK,40,1,0
2,5,TRACK,41,0,0
2,10,PROC,41,1,0
2,6,TRACK,42,0,0
2,4,TRACK,42,0,0
2,9,PROC,42,3,0
2,9,PROC,42,3,0
2,3,TRACK,42,0,0
2,10,PROC,42,1,0
2,0,GEN,45,0,0
2,0,GEN,45,1,0
2,1,GEN,45,0,0
2,1,GEN,45,1,0
2,2,GEN,45,0,0
2,2,GEN,45,1,0
