project_id,object_id,current_time,init_rate,active_rate,error_rate,pause_rate
1,0,5,100,0,0,0
1,0,5,100,0,0,0
1,0,10,50,50,0,0
1,0,10,50,50,0,0
1,0,10,50,50,0,0
1,0,15,33.3333,66.6667,0,0
1,0,15,33.3333,66.6667,0,0
1,0,20,25,75,0,0
1,0,20,25,75,0,0
1,1,25,100,0,0,0
1,1,25,100,0,0,0
1,2,25,100,0,0,0
1,2,25,100,0,0,0
1,0,25,20,60,0,20
1,0,26,19.2308,57.6923,0,23.0769
1,1,26,96.1538,3.84615,0,0
1,0,26,19.2308,57.6923,0,23.0769
1,0,26,19.2308,57.6923,0,23.0769
1,0,27,18.5185,59.2593,0,22.2222
1,1,27,92.5926,7.40741,0,0
1,0,27,18.5185,59.2593,0,22.2222
1,0,27,18.5185,59.2593,0,22.2222
1,0,31,16.129,64.5161,0,19.3548
1,0,31,16.129,64.5161,0,19.3548
1,0,36,13.8889,69.4444,0,16.6667
1,0,36,13.8889,69.4444,0,16.6667
1,3,45,100,0,0,0
1,3,45,100,0,0,0
1,1,45,55.5556,4.44444,0,40
1,0,45,11.1111,55.5556,0,33.3333
1,1,46,54.3478,4.34783,0,41.3043
1,1,46,54.3478,4.34783,0,41.3043
1,3,46,97.8261,2.17391,0,0
1,0,46,10.8696,54.3478,0,34.7826
1,1,46,54.3478,4.34783,0,41.3043
1,0,46,10.8696,54.3478,0,34.7826
1,0,47,10.6383,53.1915,0,36.1702
1,1,47,53.1915,6.38298,0,40.4255
1,0,47,10.6383,53.1915,0,36.1702
1,0,47,10.6383,53.1915,0,36.1702
1,1,48,52.0833,6.25,0,41.6667
1,1,48,52.0833,6.25,0,41.6667
1,1,48,52.0833,6.25,0,41.6667
1,0,48,10.4167,54.1667,0,35.4167
1,3,48,93.75,6.25,0,0
1,0,48,10.4167,54.1667,0,35.4167
1,1,49,51.0204,8.16327,0,40.8163
1,0,49,10.2041,55.102,0,34.6939
1,0,49,10.2041,55.102,0,34.6939
1,1,49,51.0204,8.16327,0,40.8163
1,3,49,91.8367,8.16327,0,0
1,1,49,51.0204,8.16327,0,40.8163
1,0,49,10.2041,55.102,0,34.6939
1,0,49,10.2041,55.102,0,34.6939
1,3,50,90,10,0,0
1,3,50,90,10,0,0
1,0,50,10,56,0,34
1,0,50,10,56,0,34
1,1,50,50,10,0,40
1,0,50,10,56,0,34
1,1,51,49.0196,9.80392,0,41.1765
1,3,51,88.2353,11.7647,0,0
1,1,51,49.0196,9.80392,0,41.1765
1,0,51,9.80392,56.8627,0,33.3333
1,3,51,88.2353,11.7647,0,0
1,3,51,88.2353,11.7647,0,0
1,2,51,49.0196,50.9804,0,0
1,1,51,49.0196,9.80392,0,41.1765
1,0,51,9.80392,56.8627,0,33.3333
1,0,52,9.61538,57.6923,0,32.6923
1,0,52,9.61538,57.6923,0,32.6923
1,1,52,48.0769,11.5385,0,40.3846
1,3,52,86.5385,13.4615,0,0
1,1,52,48.0769,11.5385,0,40.3846
1,0,52,9.61538,57.6923,0,32.6923
1,0,53,9.43396,56.6038,1.88679,32.0755
1,1,53,47.1698,13.2075,0,39.6226
1,0,53,9.43396,56.6038,1.88679,32.0755
1,0,53,9.43396,56.6038,1.88679,32.0755
1,3,56,80.3571,12.5,0,7.14286
1,3,56,80.3571,12.5,0,7.14286
1,1,56,44.6429,17.8571,0,37.5
1,0,56,8.92857,53.5714,7.14286,30.3571
1,2,56,44.6429,55.3571,0,0
1,3,56,80.3571,12.5,0,7.14286
1,1,56,44.6429,17.8571,0,37.5
1,0,56,8.92857,53.5714,7.14286,30.3571
1,0,57,8.77193,52.6316,8.77193,29.8246
1,0,57,8.77193,52.6316,8.77193,29.8246
1,1,58,43.1034,20.6897,0,36.2069
1,3,58,77.5862,15.5172,0,6.89655
1,1,58,43.1034,20.6897,0,36.2069
1,0,58,8.62069,53.4483,8.62069,29.3103
1,0,62,8.06452,56.4516,8.06452,27.4194
1,0,62,8.06452,56.4516,8.06452,27.4194
